d,e,x,q,p,r,ts
LONG,3375.04,3316.2,1,-55.71005142857148,SL,2025-01-16 16:00
SHORT,3298.55,3197.5,1,78.52099999999973,TP,2025-01-23 12:00
LONG,3306.91,3232.61,1,-34.42911542857109,SL,2025-01-27 07:00
SHORT,3140.94,3038.39,1,91.35607257142844,TP,2025-01-27 18:00
LONG,3339.08,3268.48,1,-65.58774914285715,SL,2025-02-01 16:00
SHORT,2972.99,2823.49,1,112.86631828571426,TP,2025-02-03 08:00
LONG,2705.75,2773.97,1,57.74398342857128,TP,2025-02-15 01:00
SHORT,2491.79,2293.23,1,138.0877080000001,TP,2025-02-27 02:00
LONG,1906.56,1973.51,1,48.72345314285723,TP,2025-03-19 18:00
SHORT,1915.48,1844.55,1,63.569322857142936,TP,2025-03-29 19:00
LONG,1595.69,1678.83,1,49.65775371428579,TP,2025-04-14 18:00
SHORT,1601.7,1620.77,1,-17.946522285714266,SL,2025-04-20 05:00
LONG,1649.16,1626.34,1,-21.860536000000035,SL,2025-04-21 19:00
SHORT,1579.57,1619.21,1,-25.03446971428591,SL,2025-04-22 15:00
LONG,1642.98,1703.01,1,57.53379599999992,TP,2025-04-22 23:00
SHORT,1801.68,1759.15,1,36.26062571428578,TP,2025-05-06 21:00
LONG,1941.1,2051.3,1,66.61305142857144,TP,2025-05-08 23:00
SHORT,2512.6,2557.93,1,-32.34210057142839,SL,2025-05-18 22:00
LONG,2628.11,2548.5,1,-76.04511428571446,SL,2025-05-23 20:00
SHORT,2513.95,2549.16,1,-28.41930685714268,SL,2025-05-26 06:00
LONG,2638.42,2721.5,1,79.32211428571422,TP,2025-05-29 08:00
SHORT,2537.61,2584.57,1,-36.86025657142855,SL,2025-06-03 06:00
LONG,2624.4,2589.87,1,-29.367733714285617,SL,2025-06-05 21:00
SHORT,2459.88,2521.97,1,-61.9666451428574,SL,2025-06-08 04:00
LONG,2675.99,2773.64,1,80.6705440000002,TP,2025-06-10 19:00
SHORT,2535.69,2574.3,1,-25.586862857142936,SL,2025-06-16 10:00
LONG,2432.79,2394.98,1,-36.43834914285697,SL,2025-06-28 02:00
SHORT,3599.69,3459.33,1,135.61341085714298,TP,2025-08-02 23:00
LONG,3695.14,3821.48,1,73.6385508571426,TP,2025-08-07 18:00
SHORT,4320.22,4142.45,1,154.9644485714277,TP,2025-08-20 00:00
LONG,4807.69,4630.88,1,-132.92770914285677,SL,2025-08-25 14:00
SHORT,4489.75,4334.51,1,136.09691028571385,TP,2025-08-29 16:00
LONG,4404.1,4512.07,1,96.07874342857149,TP,2025-09-12 08:00
SHORT,4484.02,4587.12,1,-48.396990857143045,SL,2025-09-18 06:00
LONG,4587.66,4540.78,1,-42.66238342857112,SL,2025-09-19 13:00
SHORT,4534.23,4448.83,1,75.70403942857094,TP,2025-09-20 02:00
LONG,4198.68,4140.78,1,-49.417383428571995,SL,2025-09-30 17:00
SHORT,4404.37,4277.34,1,121.65549257142851,TP,2025-10-10 00:00
LONG,4013.94,3901.28,1,-83.35765485714317,SL,2025-10-22 06:00
SHORT,3873.05,3974.36,1,-96.68760114285726,SL,2025-10-24 12:00
LONG,3923.2,4044.99,1,67.8405754285713,TP,2025-10-26 19:00
SHORT,3801.36,3874.01,1,-66.93031828571448,SL,2025-10-31 19:00
LONG,3541.62,3481.1,1,-49.76315428571426,SL,2025-11-11 23:00
SHORT,3197.69,3024.98,1,163.41286514285736,TP,2025-11-18 02:00
LONG,2927.2,3052.6,1,120.32181714285697,TP,2025-11-27 09:00
SHORT,2745.72,2791.71,1,-47.08525542857152,SL,2025-12-02 05:00
LONG,3188.36,3119.27,1,-63.65306514285716,SL,2025-12-05 03:00
SHORT,3114.37,3063.5,1,48.34317142857143,TP,2025-12-15 07:00
LONG,2988.55,3049.04,1,55.056098285714455,TP,2025-12-22 19:00
SHORT,2947.15,2973.5,1,-27.46511428571446,SL,2025-12-26 10:00
LONG,2985.45,2958.84,1,-27.488178857142877,SL,2025-12-31 04:00
SHORT,3090.36,3133.13,1,-32.84325200000015,SL,2026-01-10 00:00
LONG,3336.7,3264.18,1,-56.50888628571424,SL,2026-01-16 23:00
SHORT,3171.35,3116.91,1,52.9182359999995,TP,2026-01-20 14:00
LONG,3034.67,2999.72,1,-28.548102285714226,SL,2026-01-29 00:00
SHORT,2736.56,2538.69,1,134.64666685714295,TP,2026-01-31 22:00
LONG,2064.19,2011.0,1,-25.435471428571432,SL,2026-02-15 20:00
SHORT,1956.65,1993.2,1,-35.95728000000008,SL,2026-02-17 04:00
LONG,2074.94,1983.8,1,-44.03637714285702,SL,2026-02-27 00:00
SHORT,1962.66,2012.36,1,-41.12922971428568,SL,2026-03-01 09:00
LONG,1972.94,2075.23,1,94.43705085714298,TP,2026-03-04 17:00
SHORT,1968.95,1930.27,1,33.42789200000004,TP,2026-03-09 02:00
LONG,2037.68,2119.19,1,72.54089542857136,TP,2026-03-13 08:00
SHORT,2141.5,2081.45,1,58.65313428571449,TP,2026-03-22 18:00
LONG,2149.97,2119.55,1,-26.289962857142694,SL,2026-03-26 13:00
SHORT,2060.43,1991.67,1,55.251903428571225,TP,2026-03-27 18:00
LONG,2136.96,2100.03,1,-30.650369142857357,SL,2026-04-02 09:00
SHORT,2028.36,2053.85,1,-13.507254285714312,SL,2026-04-05 23:00
LONG,2115.12,2086.99,1,-28.93515314285732,SL,2026-04-07 20:00
